,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
57,-4.317,143.247,352.5,1.1,1.0,2021-07-14,00:45,T,96,6.1NRT,294.8,66.6,D
58,-4.315,143.238,355.8,1.1,1.0,2021-07-14,00:45,T,98,6.1NRT,295.6,74.7,D
59,-4.305,143.657,323.1,1.0,1.0,2021-07-14,00:45,T,71,6.1NRT,295.4,12.2,D
60,-4.304,143.648,323.9,1.0,1.0,2021-07-14,00:45,T,70,6.1NRT,295.8,13.4,D
61,-4.296,143.658,325.0,1.0,1.0,2021-07-14,00:45,T,57,6.1NRT,295.6,14.2,D
62,-4.295,143.649,348.5,1.0,1.0,2021-07-14,00:45,T,95,6.1NRT,296.4,52.8,D
63,-4.293,143.64,338.8,1.0,1.0,2021-07-14,00:45,T,90,6.1NRT,294.5,34.5,D
64,-3.869,143.207,333.0,1.1,1.0,2021-07-14,00:45,T,86,6.1NRT,296.0,28.5,D
65,-3.868,143.198,347.1,1.1,1.0,2021-07-14,00:45,T,94,6.1NRT,296.2,55.2,D
66,-15.589,142.051,318.5,1.0,1.0,2021-07-14,00:45,T,64,6.1NRT,298.7,9.7,D
67,-13.845,142.277,318.8,1.0,1.0,2021-07-14,00:45,T,52,6.1NRT,296.8,10.9,D
68,-13.838,142.293,328.2,1.0,1.0,2021-07-14,00:45,T,78,6.1NRT,298.4,19.6,D
69,-13.837,142.284,343.8,1.0,1.0,2021-07-14,00:45,T,93,6.1NRT,299.7,42.4,D
70,-13.835,142.275,379.0,1.0,1.0,2021-07-14,00:45,T,100,6.1NRT,301.4,143.1,D
71,-13.834,142.266,351.0,1.0,1.0,2021-07-14,00:45,T,96,6.1NRT,297.7,58.0,D
72,-16.057,144.106,324.8,1.1,1.0,2021-07-14,00:45,T,78,6.1NRT,299.8,17.8,D
73,-15.231,133.727,315.4,3.1,1.7,2021-07-14,00:45,T,22,6.1NRT,292.7,40.7,D
74,-15.243,133.717,323.3,3.1,1.7,2021-07-14,00:45,T,76,6.1NRT,291.6,82.1,D
75,-15.814,135.708,315.9,2.2,1.4,2021-07-14,00:45,T,68,6.1NRT,295.6,25.2,D
76,-15.813,135.701,313.5,2.2,1.4,2021-07-14,00:45,T,63,6.1NRT,295.7,18.6,D
77,-16.094,136.942,322.6,1.7,1.3,2021-07-14,00:45,T,76,6.1NRT,297.6,28.2,D
78,-16.128,136.936,319.2,1.7,1.3,2021-07-14,00:45,T,55,6.1NRT,298.7,18.9,D
79,-16.124,136.93,315.4,1.7,1.3,2021-07-14,00:45,T,52,6.1NRT,299.4,13.5,D
80,-16.127,136.946,314.5,1.7,1.3,2021-07-14,00:45,T,48,6.1NRT,298.2,13.0,D
81,-16.158,137.055,317.2,1.7,1.3,2021-07-14,00:45,T,52,6.1NRT,298.9,14.5,D
82,-15.986,136.004,325.8,2.0,1.4,2021-07-14,00:45,T,55,6.1NRT,294.8,50.3,D
83,-15.995,135.983,330.7,2.1,1.4,2021-07-14,00:45,T,79,6.1NRT,295.3,66.4,D
84,-16.004,135.962,323.4,2.1,1.4,2021-07-14,00:45,T,70,6.1NRT,292.2,42.7,D
85,-16.088,135.84,319.3,2.1,1.4,2021-07-14,00:45,T,73,6.1NRT,297.1,27.5,D
86,-16.091,135.86,321.8,2.1,1.4,2021-07-14,00:45,T,76,6.1NRT,297.8,36.1,D
87,-17.802,137.772,329.0,1.4,1.2,2021-07-14,00:45,T,52,6.1NRT,298.9,30.6,D
88,-17.825,137.713,323.6,1.4,1.2,2021-07-14,00:45,T,76,6.1NRT,299.3,24.0,D
89,-17.828,137.706,316.0,1.4,1.2,2021-07-14,00:45,T,62,6.1NRT,298.2,12.5,D
90,-12.679,132.745,312.5,4.2,1.9,2021-07-14,00:45,T,56,6.1NRT,296.4,37.3,D
91,-14.459,144.437,312.7,1.1,1.0,2021-07-14,00:45,T,52,6.1NRT,297.2,8.1,D
92,-14.207,142.924,306.6,1.0,1.0,2021-07-14,00:45,T,19,6.1NRT,292.5,4.7,D
93,-14.076,142.342,309.8,1.0,1.0,2021-07-14,00:45,T,51,6.1NRT,292.5,4.5,D
94,-14.074,142.333,311.0,1.0,1.0,2021-07-14,00:45,T,55,6.1NRT,294.8,5.4,D
95,-13.977,142.297,313.5,1.0,1.0,2021-07-14,00:45,T,67,6.1NRT,298.6,6.3,D
96,-13.88,142.262,310.7,1.0,1.0,2021-07-14,00:45,T,62,6.1NRT,296.3,4.2,D
97,-13.847,142.229,313.7,1.0,1.0,2021-07-14,00:45,T,69,6.1NRT,293.5,8.5,D
98,-13.848,142.295,323.5,1.0,1.0,2021-07-14,00:45,T,70,6.1NRT,297.2,16.1,D
99,-19.497,146.328,309.3,1.6,1.2,2021-07-14,00:45,T,62,6.1NRT,296.2,8.9,D
100,-19.496,146.313,314.3,1.6,1.2,2021-07-14,00:45,T,71,6.1NRT,296.6,16.8,D
101,-19.198,146.593,312.4,1.7,1.3,2021-07-14,00:45,T,64,6.1NRT,293.9,15.8,D
102,-19.196,146.577,309.3,1.7,1.3,2021-07-14,00:45,T,61,6.1NRT,293.0,11.2,D
103,-19.198,146.583,315.6,1.7,1.3,2021-07-14,00:45,T,70,6.1NRT,293.9,18.9,D
104,-17.843,137.73,333.3,1.4,1.2,2021-07-14,00:45,T,85,6.1NRT,300.5,41.9,D
105,-17.841,137.717,343.9,1.4,1.2,2021-07-14,00:45,T,92,6.1NRT,300.4,71.9,D
106,-17.831,137.719,314.6,1.4,1.2,2021-07-14,00:45,T,45,6.1NRT,299.2,9.6,D
107,-13.846,142.286,344.8,1.0,1.0,2021-07-14,00:45,T,93,6.1NRT,297.7,47.5,D
108,-12.686,132.783,324.9,4.2,1.9,2021-07-14,00:45,T,79,6.1NRT,296.8,127.9,D
109,-12.689,132.775,327.5,4.2,1.9,2021-07-14,00:45,T,82,6.1NRT,297.1,152.5,D
110,-14.312,142.136,317.4,1.0,1.0,2021-07-14,00:45,T,73,6.1NRT,296.9,10.0,D
111,-14.361,141.664,319.1,1.0,1.0,2021-07-14,00:45,T,75,6.1NRT,299.0,10.7,D
112,-12.967,132.629,313.9,4.2,1.9,2021-07-14,00:45,T,21,6.1NRT,296.3,44.7,D
113,-12.974,132.668,318.8,4.2,1.9,2021-07-14,00:45,T,67,6.1NRT,296.5,78.1,D
114,-12.991,132.665,320.4,4.2,1.9,2021-07-14,00:45,T,74,6.1NRT,296.9,90.8,D
115,-12.97,132.623,312.4,4.2,1.9,2021-07-14,00:45,T,60,6.1NRT,296.3,43.0,D
116,-12.977,132.662,328.1,4.2,1.9,2021-07-14,00:45,T,82,6.1NRT,296.8,163.5,D
117,-14.908,144.158,307.4,1.1,1.0,2021-07-14,00:45,T,32,6.1NRT,290.5,7.0,D
118,-14.978,144.203,319.5,1.1,1.0,2021-07-14,00:45,T,63,6.1NRT,298.7,10.6,D
119,-14.979,144.213,328.5,1.1,1.0,2021-07-14,00:45,T,85,6.1NRT,299.6,21.0,D
120,-15.15,144.502,312.7,1.1,1.1,2021-07-14,00:45,T,54,6.1NRT,297.4,7.6,D
121,-13.597,134.341,311.6,3.0,1.7,2021-07-14,00:45,T,58,6.1NRT,295.9,24.1,D
122,-14.952,142.231,316.7,1.0,1.0,2021-07-14,00:45,T,64,6.1NRT,299.4,8.1,D
123,-14.954,142.24,316.3,1.0,1.0,2021-07-14,00:45,T,40,6.1NRT,300.6,7.4,D
124,-14.957,142.258,319.5,1.0,1.0,2021-07-14,00:45,T,70,6.1NRT,299.9,10.3,D
125,-21.313,147.885,319.1,2.2,1.4,2021-07-14,00:50,T,77,6.1NRT,296.3,38.2,D
126,-21.31,147.864,316.0,2.2,1.4,2021-07-14,00:50,T,74,6.1NRT,295.2,30.0,D
127,-33.005,137.583,301.6,1.0,1.0,2021-07-14,00:50,T,42,6.1NRT,289.1,4.2,D
128,61.628,31.207,305.9,1.2,1.1,2021-07-14,00:55,A,66,6.1NRT,292.9,10.5,N
129,41.443,21.948,309.5,1.7,1.3,2021-07-14,01:00,A,78,6.1NRT,292.4,20.7,N
130,43.606,17.325,303.3,1.0,1.0,2021-07-14,01:00,A,52,6.1NRT,287.2,7.6,N
131,43.608,17.312,304.2,1.0,1.0,2021-07-14,01:00,A,54,6.1NRT,286.9,8.6,N
132,49.855,15.838,304.5,1.1,1.0,2021-07-14,01:00,A,48,6.1NRT,284.2,9.3,N
133,43.895,17.378,307.0,1.0,1.0,2021-07-14,01:00,A,70,6.1NRT,287.4,10.2,N
134,48.618,21.655,304.5,1.2,1.1,2021-07-14,01:00,A,60,6.1NRT,288.9,8.5,N
135,48.609,21.186,303.4,1.1,1.1,2021-07-14,01:00,A,53,6.1NRT,290.2,6.4,N
136,45.463,10.459,307.8,1.5,1.2,2021-07-14,01:00,A,73,6.1NRT,288.4,17.6,N
137,44.233,16.327,307.5,1.0,1.0,2021-07-14,01:00,A,72,6.1NRT,290.5,8.2,N
